"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"04.12.2015 00:00:00";"2";"0";"80";"1,74";"12582912";"703385";"5,59";"0";"32";"262";"14";"65"
"04.12.2015 00:05:00";"2";"0";"337";"7,34";"12582912";"1575381";"12,52";"405";"308";"262";"14";"65"
"04.12.2015 00:10:00";"2";"0";"132";"2,88";"12582912";"1541407";"12,25";"0";"33";"262";"16";"66"
"04.12.2015 00:15:00";"2";"0";"92";"2,02";"12582912";"937427";"7,45";"0";"34";"262";"14";"66"
"04.12.2015 00:20:00";"2";"0";"79";"1,72";"12582912";"795240";"6,32";"0";"31";"262";"13";"66"
"04.12.2015 00:25:00";"2";"0";"87";"1,91";"12582912";"653053";"5,19";"0";"34";"262";"32";"69"
"04.12.2015 00:30:00";"2";"0";"78";"1,72";"12582912";"593913";"4,72";"0";"32";"262";"19";"65"
"04.12.2015 00:35:00";"2";"0";"78";"1,7";"12582912";"685769";"5,45";"0";"33";"262";"13";"65"
"04.12.2015 00:40:00";"2";"0";"78";"1,72";"12582912";"685769";"5,45";"0";"30";"262";"13";"65"
"04.12.2015 00:45:00";"2";"0";"82";"1,78";"12582912";"728551";"5,79";"0";"31";"262";"13";"64"
"04.12.2015 00:50:00";"2";"0";"76";"1,66";"12582912";"703385";"5,59";"0";"30";"262";"13";"65"
"04.12.2015 00:55:00";"2";"0";"77";"1,68";"12582912";"653053";"5,19";"0";"30";"262";"13";"65"
"04.12.2015 01:00:00";"2";"0";"78";"1,71";"12582912";"845572";"6,72";"0";"30";"262";"14";"65"
"04.12.2015 01:05:00";"2";"0";"79";"1,73";"12582912";"804048";"6,39";"0";"28";"262";"15";"64"
"04.12.2015 01:10:00";"2";"0";"101";"2,2";"12582912";"1340080";"10,65";"0";"30";"262";"29";"73"
"04.12.2015 01:15:00";"2";"0";"82";"1,8";"12582912";"795240";"6,32";"0";"28";"262";"13";"64"
"04.12.2015 01:20:00";"2";"0";"74";"1,62";"12582912";"728551";"5,79";"0";"27";"262";"13";"64"
"04.12.2015 01:25:00";"2";"0";"74";"1,62";"12582912";"644245";"5,12";"0";"28";"262";"13";"64"
"04.12.2015 01:30:00";"2";"0";"74";"1,63";"12582912";"602721";"4,79";"0";"28";"262";"29";"67"
