"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"05.11.2015 00:00:00";"2";"0";"171";"4,77";"8388608";"787690";"9,39";"0";"39";"598";"2";"4"
"05.11.2015 00:05:00";"2";"0";"179";"5,01";"8388608";"1173566";"13,99";"8";"39";"598";"2";"4"
"05.11.2015 00:10:00";"2";"0";"171";"4,78";"8388608";"888354";"10,59";"0";"41";"598";"1";"3"
"05.11.2015 00:15:00";"2";"0";"171";"4,76";"8388608";"792723";"9,45";"0";"38";"598";"2";"5"
"05.11.2015 00:20:00";"2";"0";"179";"5";"8388608";"1212154";"14,45";"1";"39";"598";"1";"3"
"05.11.2015 00:25:00";"2";"0";"168";"4,7";"8388608";"859832";"10,25";"0";"38";"598";"2";"4"
"05.11.2015 00:30:00";"2";"0";"192";"5,37";"8388608";"1167694";"13,92";"124";"107";"598";"2";"4"
"05.11.2015 00:35:00";"2";"0";"724";"20,18";"8388608";"2280863";"27,19";"97";"288";"598";"117";"181"
"05.11.2015 00:40:00";"2";"0";"171";"4,77";"8388608";"2012427";"23,99";"0";"41";"598";"1";"2"
"05.11.2015 00:45:00";"2";"0";"170";"4,75";"8388608";"1056126";"12,59";"0";"40";"598";"2";"5"
"05.11.2015 00:50:00";"2";"0";"168";"4,7";"8388608";"1257452";"14,99";"0";"37";"598";"1";"3"
"05.11.2015 00:55:00";"2";"0";"169";"4,71";"8388608";"804468";"9,59";"0";"38";"598";"2";"4"
"05.11.2015 01:00:00";"2";"0";"170";"4,76";"8388608";"720581";"8,59";"0";"92";"598";"1";"4"
"05.11.2015 01:05:00";"2";"0";"177";"4,93";"8388608";"999922";"11,92";"6";"84";"598";"2";"4"
"05.11.2015 01:10:00";"2";"0";"171";"4,76";"8388608";"1039349";"12,39";"1";"38";"598";"1";"3"
"05.11.2015 01:15:00";"2";"0";"193";"5,4";"8388608";"731487";"8,72";"6";"50";"598";"2";"5"
"05.11.2015 01:20:00";"2";"0";"167";"4,67";"8388608";"1195377";"14,25";"0";"37";"598";"1";"3"
"05.11.2015 01:25:00";"2";"0";"169";"4,7";"8388608";"703804";"8,39";"0";"38";"598";"2";"4"
"05.11.2015 01:30:00";"2";"0";"175";"4,89";"8388608";"748264";"8,92";"0";"39";"598";"2";"4"
