"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"05.11.2015 00:00:00";"2";"0";"22";"0,53";"2097152";"83676";"3,99";"0";"6";"22";"9";"9"
"05.11.2015 00:05:00";"2";"0";"24";"0,57";"2097152";"50122";"2,39";"0";"5";"22";"10";"10"
"05.11.2015 00:10:00";"2";"0";"28";"0,66";"2097152";"100454";"4,79";"0";"5";"22";"18";"18"
"05.11.2015 00:15:00";"2";"0";"28";"0,67";"2097152";"75288";"3,59";"0";"6";"22";"16";"16"
"05.11.2015 00:20:00";"2";"0";"24";"0,56";"2097152";"96259";"4,59";"0";"5";"22";"11";"11"
"05.11.2015 00:25:00";"2";"0";"27";"0,64";"2097152";"75288";"3,59";"0";"6";"22";"13";"13"
"05.11.2015 00:30:00";"2";"0";"39";"0,91";"2097152";"217894";"10,39";"0";"107";"22";"11";"50"
"05.11.2015 00:35:00";"2";"0";"21";"0,5";"2097152";"280809";"13,39";"0";"4";"22";"4";"4"
"05.11.2015 00:40:00";"2";"0";"23";"0,57";"2097152";"83676";"3,99";"0";"5";"22";"6";"6"
"05.11.2015 00:45:00";"2";"0";"26";"0,63";"2097152";"71093";"3,39";"0";"6";"22";"6";"6"
"05.11.2015 00:50:00";"2";"0";"25";"0,61";"2097152";"104648";"4,99";"0";"5";"22";"9";"10"
"05.11.2015 00:55:00";"2";"0";"22";"0,53";"2097152";"75288";"3,59";"0";"5";"22";"10";"10"
"05.11.2015 01:00:00";"2";"0";"19";"0,47";"2097152";"65431";"3,12";"0";"3";"22";"2";"2"
"05.11.2015 01:05:00";"2";"0";"23";"0,56";"2097152";"90597";"4,32";"0";"4";"22";"12";"12"
"05.11.2015 01:10:00";"2";"0";"23";"0,55";"2097152";"83676";"3,99";"0";"5";"22";"6";"7"
"05.11.2015 01:15:00";"2";"0";"20";"0,49";"2097152";"82208";"3,92";"0";"4";"22";"2";"2"
"05.11.2015 01:20:00";"2";"0";"19";"0,47";"2097152";"75288";"3,59";"0";"4";"22";"1";"1"
"05.11.2015 01:25:00";"2";"0";"20";"0,47";"2097152";"58511";"2,79";"0";"4";"22";"4";"4"
"05.11.2015 01:30:00";"2";"0";"21";"0,51";"2097152";"90597";"4,32";"0";"4";"22";"2";"2"
"05.11.2015 01:35:00";"2";"0";"22";"0,53";"2097152";"61237";"2,92";"0";"5";"22";"8";"8"
"05.11.2015 01:40:00";"2";"0";"20";"0,47";"2097152";"61237";"2,92";"0";"4";"22";"2";"2"
"05.11.2015 01:45:00";"2";"0";"19";"0,46";"2097152";"65431";"3,12";"0";"3";"22";"2";"2"
"05.11.2015 01:50:00";"2";"0";"23";"0,54";"2097152";"78014";"3,72";"0";"4";"22";"2";"2"
"05.11.2015 01:55:00";"2";"0";"28";"0,65";"2097152";"55575";"2,65";"0";"6";"22";"4";"4"
"05.11.2015 02:00:00";"2";"0";"21";"0,5";"2097152";"68157";"3,25";"0";"4";"22";"2";"2"
"05.11.2015 02:05:00";"2";"0";"21";"0,51";"2097152";"82208";"3,92";"0";"4";"22";"5";"4"
"05.11.2015 02:10:00";"2";"0";"22";"0,52";"2097152";"82208";"3,92";"0";"4";"22";"21";"18"
"05.11.2015 02:15:00";"2";"0";"21";"0,51";"2097152";"84935";"4,05";"0";"4";"22";"20";"18"
"05.11.2015 02:20:00";"2";"0";"21";"0,5";"2097152";"68157";"3,25";"0";"3";"22";"1";"1"
"05.11.2015 02:25:00";"2";"0";"20";"0,48";"2097152";"73820";"3,52";"0";"4";"22";"3";"3"
"05.11.2015 02:30:00";"2";"0";"20";"0,49";"2097152";"79482";"3,79";"0";"4";"22";"3";"3"
"05.11.2015 02:35:00";"2";"0";"19";"0,47";"2097152";"62705";"2,99";"0";"4";"22";"1";"1"
"05.11.2015 02:40:00";"2";"0";"19";"0,46";"2097152";"71093";"3,39";"0";"4";"22";"3";"3"
"05.11.2015 02:45:00";"2";"0";"19";"0,45";"2097152";"90597";"4,32";"0";"4";"22";"1";"1"
"05.11.2015 02:50:00";"2";"0";"19";"0,47";"2097152";"104648";"4,99";"0";"3";"22";"2";"2"
"05.11.2015 02:55:00";"2";"0";"19";"0,46";"2097152";"66899";"3,19";"0";"4";"22";"1";"1"
