"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"05.11.2015 00:00:00";"2";"0";"201";"4,39";"6291456";"2931189";"46,59";"0";"90";"52";"8";"1"
"05.11.2015 00:05:00";"2";"0";"226";"4,93";"6291456";"3031853";"48,19";"107";"58";"52";"9";"1"
"05.11.2015 00:10:00";"2";"0";"154";"3,37";"6291456";"2934964";"46,65";"1";"65";"52";"6";"1"
"05.11.2015 00:15:00";"2";"0";"207";"4,52";"6291456";"2994104";"47,59";"4";"61";"52";"8";"1"
"05.11.2015 00:20:00";"2";"0";"211";"4,59";"6291456";"2817943";"44,79";"3";"24";"52";"10";"1"
"05.11.2015 00:25:00";"2";"0";"166";"3,62";"6291456";"3098542";"49,25";"20";"48";"52";"6";"1"
"05.11.2015 00:30:00";"2";"0";"198";"4,32";"6291456";"3208014";"50,99";"1";"25";"52";"8";"1"
"05.11.2015 00:35:00";"2";"0";"180";"3,93";"6291456";"3145099";"49,99";"21";"111";"52";"10";"1"
"05.11.2015 00:40:00";"2";"0";"200";"4,37";"6291456";"3145099";"49,99";"0";"37";"52";"7";"1"
"05.11.2015 00:45:00";"2";"0";"267";"5,82";"6291456";"3333843";"52,99";"49";"280";"52";"8";"1"
"05.11.2015 00:50:00";"2";"0";"211";"4,61";"6291456";"3148874";"50,05";"0";"52";"52";"9";"1"
"05.11.2015 00:55:00";"2";"0";"158";"3,46";"6291456";"2964534";"47,12";"13";"72";"52";"6";"1"
"05.11.2015 01:00:00";"2";"0";"206";"4,48";"6291456";"3191027";"50,72";"3";"61";"52";"8";"1"
"05.11.2015 01:05:00";"2";"0";"184";"4,02";"6291456";"3346425";"53,19";"12";"115";"52";"10";"1"
"05.11.2015 01:10:00";"2";"0";"200";"4,36";"6291456";"3123708";"49,65";"2";"81";"52";"6";"1"
"05.11.2015 01:15:00";"2";"0";"207";"4,51";"6291456";"3233179";"51,39";"0";"47";"52";"8";"1"
"05.11.2015 01:20:00";"2";"0";"168";"3,67";"6291456";"3145099";"49,99";"1";"52";"52";"10";"1"
"05.11.2015 01:25:00";"2";"0";"203";"4,43";"6291456";"3065197";"48,72";"7";"85";"52";"6";"1"
"05.11.2015 01:30:00";"2";"0";"157";"3,43";"6291456";"3161457";"50,25";"1";"68";"52";"8";"1"
"05.11.2015 01:35:00";"2";"0";"221";"4,83";"6291456";"2934964";"46,65";"3";"93";"52";"9";"1"
