"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"05.11.2015 00:00:00";"6";"0";"1213";"8,8";"10485760";"2969567";"28,32";"76";"2876";"298";"437";"116"
"05.11.2015 00:05:00";"6";"0";"1172";"8,5";"10485760";"2654994";"25,32";"476";"1229";"298";"599";"127"
"05.11.2015 00:10:00";"6";"0";"1501";"10,88";"10485760";"4660920";"44,45";"727";"6255";"298";"572";"137"
"05.11.2015 00:15:00";"6";"0";"1160";"8,41";"10485760";"4094689";"39,05";"124";"1607";"298";"463";"128"
"05.11.2015 00:20:00";"6";"0";"1396";"10,13";"10485760";"4136632";"39,45";"1802";"8719";"298";"376";"103"
"05.11.2015 00:25:00";"6";"0";"1309";"9,49";"10485760";"4738515";"45,19";"1259";"2585";"298";"472";"121"
"05.11.2015 00:30:00";"6";"0";"1251";"9,07";"10485760";"3920626";"37,39";"145";"3575";"298";"469";"123"
"05.11.2015 00:35:00";"6";"0";"1167";"8,46";"10485760";"3039822";"28,99";"184";"1653";"298";"434";"116"
"05.11.2015 00:40:00";"6";"0";"1611";"11,69";"10485760";"4067426";"38,79";"446";"5872";"298";"423";"100"
"05.11.2015 00:45:00";"6";"0";"871";"6,32";"10485760";"3459252";"32,99";"84";"1112";"298";"308";"71"
"05.11.2015 00:50:00";"6";"0";"1135";"8,23";"10485760";"3696230";"35,25";"99";"3053";"298";"396";"90"
"05.11.2015 00:55:00";"6";"0";"1347";"9,77";"10485760";"3270509";"31,19";"1954";"5123";"298";"408";"95"
"05.11.2015 01:00:00";"6";"0";"1088";"7,89";"10485760";"4843372";"46,19";"1055";"1901";"298";"345";"89"
"05.11.2015 01:05:00";"6";"0";"1184";"8,59";"10485760";"3228566";"30,79";"300";"1304";"298";"493";"135"
