"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"05.11.2015 00:00:00";"6";"0";"876";"6,44";"20971520";"1730150";"8,25";"60";"418";"709";"490";"417"
"05.11.2015 00:05:00";"6";"0";"904";"6,65";"20971520";"2164261";"10,32";"104";"559";"709";"672";"541"
"05.11.2015 00:10:00";"6";"0";"1020";"7,5";"20971520";"2136998";"10,19";"1122";"1441";"709";"723";"531"
"05.11.2015 00:15:00";"6";"0";"933";"6,86";"20971520";"2178941";"10,39";"62";"469";"709";"680";"613"
"05.11.2015 00:20:00";"6";"0";"1803";"13,25";"20971520";"2975859";"14,19";"26725";"23129";"709";"937";"668"
"05.11.2015 00:25:00";"6";"0";"2213";"16,27";"20971520";"5840568";"27,85";"16102";"39827";"709";"736";"1306"
"05.11.2015 00:30:00";"6";"0";"910";"6,69";"20971520";"4863296";"23,19";"60";"338";"709";"631";"470"
"05.11.2015 00:35:00";"6";"0";"928";"6,82";"20971520";"2220884";"10,59";"74";"441";"709";"827";"649"
"05.11.2015 00:40:00";"6";"0";"1822";"13,39";"20971520";"2220884";"10,59";"12213";"3437";"709";"687";"3402"
"05.11.2015 00:45:00";"6";"0";"2504";"18,41";"20971520";"1843397";"8,79";"16121";"338";"709";"791";"5631"
"05.11.2015 00:50:00";"6";"0";"884";"6,5";"20971520";"2262827";"10,79";"67";"532";"709";"622";"495"
"05.11.2015 00:55:00";"6";"0";"874";"6,42";"20971520";"2514485";"11,99";"67";"2041";"709";"594";"473"
"05.11.2015 01:00:00";"6";"0";"900";"6,62";"20971520";"2472542";"11,79";"72";"558";"709";"567";"451"
"05.11.2015 01:05:00";"6";"0";"1332";"9,79";"20971520";"3087008";"14,72";"108";"1780";"709";"1988";"2525"
"05.11.2015 01:10:00";"6";"0";"1174";"8,63";"20971520";"3156214";"15,05";"2223";"2041";"709";"878";"1675"
"05.11.2015 01:15:00";"6";"0";"999";"7,34";"20971520";"2862612";"13,65";"881";"463";"709";"499";"401"
"05.11.2015 01:20:00";"6";"0";"914";"6,72";"20971520";"2220884";"10,59";"60";"519";"709";"571";"492"
"05.11.2015 01:25:00";"6";"0";"866";"6,37";"20971520";"2373976";"11,32";"64";"505";"709";"642";"496"
"05.11.2015 01:30:00";"6";"0";"899";"6,61";"20971520";"2233467";"10,65";"57";"430";"709";"616";"443"
"05.11.2015 01:35:00";"6";"0";"980";"7,21";"20971520";"2304770";"10,99";"73";"670";"709";"700";"547"
"05.11.2015 01:40:00";"6";"0";"1211";"8,9";"20971520";"2529165";"12,06";"5629";"2208";"709";"889";"2183"
"05.11.2015 01:45:00";"6";"0";"904";"6,64";"20971520";"1983906";"9,46";"69";"555";"709";"547";"400"
"05.11.2015 01:50:00";"6";"0";"921";"6,77";"20971520";"1885340";"8,99";"67";"537";"709";"582";"410"
"05.11.2015 01:55:00";"6";"0";"872";"6,41";"20971520";"2107638";"10,05";"74";"513";"709";"569";"408"
"05.11.2015 02:00:00";"6";"0";"915";"6,73";"20971520";"2038432";"9,72";"73";"596";"709";"570";"375"
"05.11.2015 02:05:00";"6";"0";"986";"7,25";"20971520";"2164261";"10,32";"114";"730";"709";"749";"598"
"05.11.2015 02:10:00";"6";"0";"949";"6,97";"20971520";"2067792";"9,86";"1900";"2348";"709";"612";"582"
"05.11.2015 02:15:00";"6";"0";"935";"6,87";"20971520";"2235564";"10,66";"70";"575";"709";"615";"453"
