"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"04.01.2016 00:00:00";"6";"0";"5923";"43,55";"20971520";"2415919";"11,52";"27086";"255";"709";"937";"1224"
"04.01.2016 00:05:00";"6";"0";"5963";"43,84";"20971520";"3814720";"18,19";"557";"281";"709";"1181";"1477"
"04.01.2016 00:10:00";"6";"0";"5846";"42,99";"20971520";"2850030";"13,59";"707";"605";"709";"885";"1015"
"04.01.2016 00:15:00";"6";"0";"6080";"44,71";"20971520";"3521118";"16,79";"561";"297";"709";"1089";"1421"
"04.01.2016 00:20:00";"6";"0";"6152";"45,24";"20971520";"3590324";"17,12";"907";"290";"709";"1164";"1991"
"04.01.2016 00:25:00";"6";"0";"5971";"43,9";"20971520";"2975859";"14,19";"671";"298";"709";"960";"1422"
"04.01.2016 00:30:00";"6";"0";"5847";"42,99";"20971520";"2430599";"11,59";"27041";"261";"709";"877";"1131"
"04.01.2016 00:35:00";"6";"0";"6292";"46,26";"20971520";"3533701";"16,85";"52907";"5023";"709";"1928";"1537"
"04.01.2016 00:40:00";"6";"0";"6353";"46,71";"20971520";"5798625";"27,65";"51224";"6612";"709";"1368";"1704"
"04.01.2016 00:45:00";"6";"0";"5886";"43,28";"20971520";"5085594";"24,25";"471";"223";"709";"941";"1202"
"04.01.2016 00:50:00";"6";"0";"5916";"43,5";"20971520";"3282043";"15,65";"388";"234";"709";"987";"1146"
"04.01.2016 00:55:00";"6";"0";"5935";"43,64";"20971520";"2778726";"13,25";"464";"332";"709";"926";"1132"
"04.01.2016 01:00:00";"6";"0";"6004";"44,15";"20971520";"2610954";"12,45";"6672";"1056";"709";"950";"1232"
"04.01.2016 01:05:00";"6";"0";"6057";"44,53";"20971520";"3787456";"18,06";"21021";"995";"709";"1072";"1288"
"04.01.2016 01:10:00";"6";"0";"5943";"43,7";"20971520";"3353346";"15,99";"1012";"2221";"709";"918";"1042"
"04.01.2016 01:15:00";"6";"0";"5909";"43,44";"20971520";"3982492";"18,99";"545";"242";"709";"953";"1230"
"04.01.2016 01:20:00";"6";"0";"5998";"44,1";"20971520";"3758096";"17,92";"569";"427";"709";"1028";"2106"
