"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"04.01.2016 00:00:00";"2";"0";"329";"9,19";"12582912";"1156370";"9,19";"8";"96";"208";"15";"19"
"04.01.2016 00:05:00";"2";"0";"315";"8,78";"12582912";"1609354";"12,79";"107";"152";"208";"22";"43"
"04.01.2016 00:10:00";"2";"0";"297";"8,28";"12582912";"1231867";"9,79";"144";"102";"208";"17";"33"
"04.01.2016 00:15:00";"2";"0";"284";"7,91";"12582912";"987759";"7,85";"471";"820";"208";"15";"17"
"04.01.2016 00:20:00";"2";"0";"852";"23,74";"12582912";"6013374";"47,79";"133591";"581";"208";"23";"376"
"04.01.2016 00:25:00";"2";"0";"280";"7,81";"12582912";"5182901";"41,19";"6";"92";"208";"15";"17"
"04.01.2016 00:30:00";"2";"0";"278";"7,75";"12582912";"1961676";"15,59";"6";"92";"208";"15";"17"
"04.01.2016 00:35:00";"2";"0";"273";"7,61";"12582912";"996567";"7,92";"22";"99";"208";"15";"19"
"04.01.2016 00:40:00";"2";"0";"823";"22,94";"12582912";"1835847";"14,59";"22449";"993";"208";"146";"5341"
"04.01.2016 00:45:00";"2";"0";"329";"9,18";"12582912";"5711384";"45,39";"1556";"91";"208";"27";"554"
"04.01.2016 00:50:00";"2";"0";"537";"14,98";"12582912";"2741817";"21,79";"1579";"901";"208";"24";"560"
"04.01.2016 00:55:00";"2";"0";"272";"7,58";"12582912";"1357696";"10,79";"3";"98";"208";"15";"17"
"04.01.2016 01:00:00";"2";"0";"281";"7,83";"12582912";"1181535";"9,39";"2";"96";"208";"15";"17"
"04.01.2016 01:05:00";"2";"0";"282";"7,87";"12582912";"1307365";"10,39";"32";"108";"208";"16";"23"
"04.01.2016 01:10:00";"2";"0";"315";"8,78";"12582912";"1055706";"8,39";"203";"226";"208";"15";"17"
"04.01.2016 01:15:00";"2";"0";"273";"7,61";"12582912";"854380";"6,79";"0";"102";"208";"15";"17"
"04.01.2016 01:20:00";"2";"0";"844";"23,51";"12582912";"6633711";"52,72";"136741";"653";"208";"27";"418"
"04.01.2016 01:25:00";"2";"0";"270";"7,53";"12582912";"4075605";"32,39";"8";"92";"208";"15";"17"
"04.01.2016 01:30:00";"2";"0";"287";"7,99";"12582912";"1499883";"11,92";"6";"91";"208";"15";"17"
"04.01.2016 01:35:00";"2";"0";"356";"9,92";"12582912";"1533857";"12,19";"48";"137";"208";"15";"17"
"04.01.2016 01:40:00";"2";"0";"273";"7,63";"12582912";"1348888";"10,72";"6";"92";"208";"15";"17"
"04.01.2016 01:45:00";"2";"0";"280";"7,81";"12582912";"1156370";"9,19";"57";"92";"208";"17";"28"
"04.01.2016 01:50:00";"2";"0";"274";"7,64";"12582912";"971401";"7,72";"14";"118";"208";"15";"17"
"04.01.2016 01:55:00";"2";"0";"301";"8,41";"12582912";"1021732";"8,12";"5";"100";"208";"15";"19"
"04.01.2016 02:00:00";"2";"0";"272";"7,59";"12582912";"1138754";"9,05";"5";"94";"208";"15";"17"
"04.01.2016 02:05:00";"2";"0";"278";"7,76";"12582912";"1650878";"13,12";"68";"176";"208";"15";"20"
"04.01.2016 02:10:00";"2";"0";"267";"7,45";"12582912";"1282199";"10,19";"6";"97";"208";"15";"17"
"04.01.2016 02:15:00";"2";"0";"264";"7,36";"12582912";"1156370";"9,19";"6";"96";"208";"15";"17"
"04.01.2016 02:20:00";"2";"0";"844";"23,53";"12582912";"6214700";"49,39";"136727";"551";"208";"23";"384"
"04.01.2016 02:25:00";"2";"0";"259";"7,24";"12582912";"4737467";"37,65";"7";"91";"208";"15";"17"
"04.01.2016 02:30:00";"2";"0";"258";"7,21";"12582912";"1835847";"14,59";"8";"91";"208";"15";"17"
"04.01.2016 02:35:00";"2";"0";"271";"7,55";"12582912";"1088422";"8,65";"16";"100";"208";"15";"20"
"04.01.2016 02:40:00";"2";"0";"259";"7,24";"12582912";"1189085";"9,45";"103";"89";"208";"15";"17"
"04.01.2016 02:45:00";"2";"0";"255";"7,11";"12582912";"1063256";"8,45";"12";"90";"208";"14";"16"
"04.01.2016 02:50:00";"2";"0";"282";"7,87";"12582912";"1163919";"9,25";"30";"119";"208";"17";"21"
"04.01.2016 02:55:00";"2";"0";"264";"7,36";"12582912";"1046898";"8,32";"9";"97";"208";"14";"16"
"04.01.2016 03:00:00";"2";"0";"260";"7,25";"12582912";"1030540";"8,19";"5";"95";"208";"14";"15"
"04.01.2016 03:05:00";"2";"0";"268";"7,47";"12582912";"1625712";"12,92";"11";"107";"208";"15";"17"
"04.01.2016 03:10:00";"2";"0";"269";"7,51";"12582912";"1181535";"9,39";"6";"97";"208";"15";"17"
"04.01.2016 03:15:00";"2";"0";"267";"7,44";"12582912";"912261";"7,25";"8";"97";"208";"15";"17"
"04.01.2016 03:20:00";"2";"0";"808";"22,51";"12582912";"6718017";"53,39";"136711";"558";"208";"23";"320"
"04.01.2016 03:25:00";"2";"0";"274";"7,64";"12582912";"4981575";"39,59";"114";"125";"208";"15";"17"
"04.01.2016 03:30:00";"2";"0";"269";"7,49";"12582912";"1886178";"14,99";"6";"92";"208";"15";"17"
"04.01.2016 03:35:00";"2";"0";"410";"11,43";"12582912";"1483525";"11,79";"93";"171";"208";"21";"27"
"04.01.2016 03:40:00";"2";"0";"262";"7,32";"12582912";"1206701";"9,59";"5";"91";"208";"15";"17"
"04.01.2016 03:45:00";"2";"0";"262";"7,31";"12582912";"929877";"7,39";"5";"92";"208";"15";"17"
"04.01.2016 03:50:00";"2";"0";"267";"7,47";"12582912";"929877";"7,39";"5";"116";"208";"15";"17"
"04.01.2016 03:55:00";"2";"0";"270";"7,53";"12582912";"929877";"7,39";"6";"97";"208";"15";"17"
"04.01.2016 04:00:00";"2";"0";"291";"8,13";"12582912";"1282199";"10,19";"13";"98";"208";"15";"19"
"04.01.2016 04:05:00";"2";"0";"272";"7,59";"12582912";"1424386";"11,32";"11";"204";"208";"15";"18"
"04.01.2016 04:10:00";"2";"0";"306";"8,54";"12582912";"1541407";"12,25";"294";"142";"208";"17";"21"
"04.01.2016 04:15:00";"2";"0";"347";"9,67";"12582912";"2003200";"15,92";"3446";"130";"208";"16";"18"
"04.01.2016 04:20:00";"2";"0";"808";"22,51";"12582912";"6860204";"54,52";"134221";"590";"208";"24";"450"
"04.01.2016 04:25:00";"2";"0";"265";"7,39";"12582912";"4359979";"34,65";"14";"90";"208";"15";"17"
"04.01.2016 04:30:00";"2";"0";"262";"7,31";"12582912";"1634520";"12,99";"6";"94";"208";"15";"17"
"04.01.2016 04:35:00";"2";"0";"513";"14,3";"12582912";"1760349";"13,99";"149";"134";"208";"15";"19"
"04.01.2016 04:40:00";"2";"0";"292";"8,14";"12582912";"1289748";"10,25";"129";"92";"208";"15";"19"
"04.01.2016 04:45:00";"2";"0";"314";"8,77";"12582912";"1357696";"10,79";"11";"94";"208";"15";"19"
"04.01.2016 04:50:00";"2";"0";"263";"7,34";"12582912";"1340080";"10,65";"6";"115";"208";"15";"17"
"04.01.2016 04:55:00";"2";"0";"263";"7,33";"12582912";"1231867";"9,79";"5";"97";"208";"14";"17"
"04.01.2016 05:00:00";"2";"0";"263";"7,34";"12582912";"1239417";"9,85";"5";"96";"208";"14";"16"
"04.01.2016 05:05:00";"2";"0";"277";"7,73";"12582912";"1415578";"11,25";"34";"169";"208";"15";"23"
"04.01.2016 05:10:00";"2";"0";"266";"7,42";"12582912";"1282199";"10,19";"6";"94";"208";"14";"16"
"04.01.2016 05:15:00";"2";"0";"271";"7,56";"12582912";"946235";"7,52";"25";"99";"208";"15";"18"
"04.01.2016 05:20:00";"2";"0";"803";"22,39";"12582912";"6114037";"48,59";"134197";"552";"208";"23";"384"
"04.01.2016 05:25:00";"2";"0";"262";"7,3";"12582912";"4309647";"34,25";"6";"90";"208";"15";"16"
"04.01.2016 05:30:00";"2";"0";"263";"7,33";"12582912";"1584189";"12,59";"6";"95";"208";"15";"17"
"04.01.2016 05:35:00";"2";"0";"324";"9,05";"12582912";"1231867";"9,79";"18";"124";"208";"15";"17"
"04.01.2016 05:40:00";"2";"0";"264";"7,36";"12582912";"980209";"7,79";"21";"98";"208";"15";"17"
"04.01.2016 05:45:00";"2";"0";"272";"7,58";"12582912";"1021732";"8,12";"5";"94";"208";"15";"19"
"04.01.2016 05:50:00";"2";"0";"274";"7,64";"12582912";"1408028";"11,19";"25";"164";"208";"15";"17"
"04.01.2016 05:55:00";"2";"0";"269";"7,52";"12582912";"1760349";"13,99";"400";"822";"208";"14";"16"
"04.01.2016 06:00:00";"2";"0";"262";"7,3";"12582912";"1584189";"12,59";"6";"100";"208";"15";"17"
"04.01.2016 06:05:00";"2";"0";"270";"7,54";"12582912";"1248225";"9,92";"18";"169";"208";"15";"17"
"04.01.2016 06:10:00";"2";"0";"269";"7,5";"12582912";"1483525";"11,79";"6";"98";"208";"15";"17"
"04.01.2016 06:15:00";"2";"0";"268";"7,49";"12582912";"1030540";"8,19";"8";"100";"208";"15";"17"
"04.01.2016 06:20:00";"2";"0";"814";"22,67";"12582912";"5812047";"46,19";"134154";"632";"208";"24";"465"
"04.01.2016 06:25:00";"2";"0";"265";"7,4";"12582912";"4377595";"34,79";"7";"91";"208";"15";"17"
"04.01.2016 06:30:00";"2";"0";"265";"7,4";"12582912";"1667236";"13,25";"6";"93";"208";"15";"17"
"04.01.2016 06:35:00";"2";"0";"303";"8,44";"12582912";"1181535";"9,39";"10";"118";"208";"15";"17"
"04.01.2016 06:40:00";"2";"0";"264";"7,37";"12582912";"1433194";"11,39";"5";"93";"208";"15";"17"
"04.01.2016 06:45:00";"2";"0";"276";"7,71";"12582912";"912261";"7,25";"5";"94";"208";"15";"19"
"04.01.2016 06:50:00";"2";"0";"509";"14,2";"12582912";"1525049";"12,12";"1152";"1504";"208";"22";"519"
"04.01.2016 06:55:00";"2";"0";"265";"7,4";"12582912";"1264583";"10,05";"5";"96";"208";"15";"17"
"04.01.2016 07:00:00";"2";"0";"263";"7,33";"12582912";"1231867";"9,79";"5";"95";"208";"15";"17"
"04.01.2016 07:05:00";"2";"0";"1062";"29,6";"12582912";"5551581";"44,12";"134167";"1849";"208";"122";"2024"
"04.01.2016 07:10:00";"2";"0";"271";"7,57";"12582912";"5208067";"41,39";"6";"93";"208";"15";"17"
"04.01.2016 07:15:00";"2";"0";"264";"7,38";"12582912";"2154195";"17,12";"8";"93";"208";"14";"16"
"04.01.2016 07:20:00";"2";"0";"820";"22,84";"12582912";"6441192";"51,19";"134155";"532";"208";"21";"250"
"04.01.2016 07:25:00";"2";"0";"262";"7,32";"12582912";"4268124";"33,92";"6";"90";"208";"14";"16"
"04.01.2016 07:30:00";"2";"0";"271";"7,56";"12582912";"1692402";"13,45";"6";"92";"208";"15";"17"
