"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"04.01.2016 00:00:00";"1";"0";"17";"0,83";"2097152";"78014";"3,72";"0";"2";"32";"5";"5"
"04.01.2016 00:05:00";"1";"0";"18";"0,87";"2097152";"82208";"3,92";"0";"3";"32";"1";"1"
"04.01.2016 00:10:00";"1";"0";"19";"0,94";"2097152";"105906";"5,05";"7";"3";"32";"1";"1"
"04.01.2016 00:15:00";"1";"0";"16";"0,8";"2097152";"73820";"3,52";"0";"3";"32";"6";"6"
"04.01.2016 00:20:00";"1";"0";"170";"8,02";"2097152";"214958";"10,25";"3996";"4";"32";"8";"767"
"04.01.2016 00:25:00";"1";"0";"23";"1,1";"2097152";"1378248";"65,72";"5";"44";"32";"5";"5"
"04.01.2016 00:30:00";"1";"0";"16";"0,77";"2097152";"461164";"21,99";"0";"2";"32";"0";"0"
"04.01.2016 00:35:00";"1";"0";"18";"0,89";"2097152";"163368";"7,79";"0";"3";"32";"5";"5"
"04.01.2016 00:40:00";"1";"0";"18";"0,87";"2097152";"114295";"5,45";"0";"3";"32";"5";"5"
"04.01.2016 00:45:00";"1";"0";"15";"0,73";"2097152";"107374";"5,12";"0";"3";"32";"0";"0"
"04.01.2016 00:50:00";"1";"0";"18";"0,87";"2097152";"87871";"4,19";"0";"2";"32";"0";"1"
"04.01.2016 00:55:00";"1";"0";"18";"0,89";"2097152";"89129";"4,25";"0";"3";"32";"5";"2"
"04.01.2016 01:00:00";"1";"0";"15";"0,74";"2097152";"83676";"3,99";"0";"2";"32";"0";"0"
"04.01.2016 01:05:00";"1";"0";"19";"0,92";"2097152";"104648";"4,99";"0";"3";"32";"7";"8"
"04.01.2016 01:10:00";"1";"0";"17";"0,84";"2097152";"80740";"3,85";"0";"2";"32";"0";"0"
"04.01.2016 01:15:00";"1";"0";"17";"0,83";"2097152";"66899";"3,19";"0";"3";"32";"7";"7"
